0,月销量,价格,名称,重要度,评论数
0,2593,3299,小米 MIX2,"大屏5.99""",0
1,520,663,荣耀 畅玩6,"中屏5.0""",0
2,22075,2780,vivo X9s Plus,"大屏5.85""",0
3,2369,1026,荣耀V9 PLAY,"中屏5.2""",0
4,64184,865,华为 畅享7 ,"中屏5.0""",0
5,20763,2463,vivo X9s,"大屏5.5""",0
6,44859,1316,小米 5X,"大屏5.5""",0
7,60686,1144,魅族 魅蓝note6,"大屏5.5""",0
8,80644,2345,荣耀 荣耀9,"中屏5.15""",0
9,59161,2968,OPPO R11,"大屏5.5""",0
10,97947,2553,小米 小米手机6,"中屏5.15""",0
11,103964,847,小米 红米Note 4X,"大屏5.5""",0
12,8666,2199,OPPO A77 ,"大屏5.5""",0
13,117185,675,小米 红米4X,"中屏5.0""",0
14,105268,1132,荣耀 荣耀8青春版,"中屏5.2""",0
15,56766,5092,苹果 iPhone 7 Plus,"大屏5.5""",0
16,38343,1362,OPPO A57,"中屏5.2""",0
17,30233,1482,小米 Max2,"超大屏6.44""",0
18,33474,2613,荣耀 V9,"大屏5.7""",0
19,26627,2246,vivo X9,"大屏5.5""",0
20,39207,4259,苹果 iPhone 7,"中屏4.7""",0
21,15763,4871,三星 Galaxy S8,"大屏5.8""",0
22,22539,3112,华为 P10,"中屏5.1""",0
23,14271,3602,OPPO R11 Plus,"大屏6.0""",0
24,40734,1170,荣耀 畅玩6X,"大屏5.5""",0
25,15071,3465,华为 P10 Plus,"大屏5.5""",0
26,63984,588,小米 红米4A,"中屏5.0""",0
27,34445,1311,华为 畅享7 Plus,"大屏5.5""",0
28,40707,900,魅族 魅蓝note5,"大屏5.5""",0
29,16644,4912,三星 Galaxy S8+,"超大屏6.2""",0
30,18103,2682,一加手机5,"大屏5.5""",0
31,28253,1256,vivo Y66,"大屏5.5""",0
32,21692,1614,荣耀 荣耀8,"中屏5.2""",0
33,17186,3078,华为 Mate 9,"大屏5.9""",0
34,5507,2620,魅族 PRO7,"中屏5.2""",0
35,23833,1142,魅族 魅蓝E2,"大屏5.5""",0
36,13771,3277,美图 T8,"中屏5.2""",0
37,18420,1173,360手机 N5s,"大屏5.5""",0
38,14643,2535,美图 M8,"中屏5.2""",0
39,6823,2773,努比亚 Z17,"大屏5.5""",0
40,7777,2262,华为 NOVA 2,"中屏5.0""",0
41,22571,798,荣耀 畅玩6A,"中屏5.0""",0
42,11031,1606,华为 NOVA 青春版,"中屏5.2""",0
43,11817,1542,锤子 坚果Pro,"大屏5.5""",0
44,6305,2588,华为 NOVA 2 PLUS,"大屏5.5""",0
45,9719,1674,vivo Y67,"大屏5.5""",0
46,5507,3070,小米 MIX,"超大屏6.4""",0
47,19213,780,魅族 魅蓝5s,"中屏5.2""",0
